EMOTION,SIT
guilt,"As the only person in my family into academics, I ought to have Ã¡ looked after my younger (and only) sister better, with respect to Ã¡ her education and life experiences."
joy,When my older sister told us that she was thinking of joining the Ã¡ rest of the family for the winter sports holiday.
fear,Slept in a chapel and in the middle of the night I realized that Ã¡ there was someeone else in the chapel.  I never discovered who Ã¡ it was and why he was there.
anger,"When we were in high school a few guys sometimes provoked a Ã¡ friend of mine.  They called her a pig and then grunted.  This Ã¡ irritated most of the girls.  Once, one of the girls got angry at Ã¡ my friend and said something nasty and this made me terribly Ã¡ angry."
sadness,I talked to my boyfriend on the phone when I was in high spirits Ã¡ and had a lot to tell him.  I had been looking forward to this Ã¡ conversation and he did not listen to me to the extent that I Ã¡ had anticipated.
disgust,A mother who shouts at her child for nothing.
shame,"When I complained to my mother about how untidy the kitchen Ã¡ loooked, she boxed my ears ( this had never happened before)."
guilt,"As I could not be home before midnight I called home at 11.30 and Ã¡ asked them to leave the door open so that I could get in.  I Ã¡ actually woke up the whole family by calling them so late.  My Ã¡ mother could not go back to sleep, besides she had a conference   Ã¡ the next day and really needed to sleep."
joy,When I got through the first day here at the department.
fear,When I was cycling past a parked car someone opened the door and Ã¡ nearly pushed me off my bike and into the traffic.
anger,When my boyfriend sat up half the night playing computer games Ã¡ with a friend.
sadness,When I had to leave my mother and my sister after a week's visit.
disgust,When I saw a big spider from very close.
shame,When I asked a friend to return the money that I had loaned her Ã¡ and then remembered that she had repayed me in several ways.
guilt,When one of my parents insinuates something about the other Ã¡ (they are divorced).
joy,When i was asked to be a child's godmother.
fear,On the way down a ski slope which was difficult and steep.
anger,When my mother interfered in my life.
sadness,When I was left alone one week-end without being prepared for Ã¡ it.
disgust,The first time that I saw a surgeon cut off a leg and put it in a Ã¡ black rubbish bag.
shame,When I forgot about a meeting at work.
guilt,When I demand too much from my friends.
joy,When my husband suddenly came to see me at my new job and Ã¡ brought some flowers and cake with him.
fear,When I was nearly attackad by a man who had been chasing me.
anger,"When my father asked me if I was a communist, at the same time he Ã¡ made it clear that I should no longer see myself as his daughter."
sadness,"When I applied for a job which I thought I had a good chance of Ã¡ getting, I was not even granted an interview and did not get the Ã¡ job."
disgust,T.V features showing the violation of defenceless people.
shame,When I as a child of 9 or 10 I was playing doctor with the Ã¡ neighbours boys their mother caught us.
guilt,When my husband talked about the restrictions he will have to Ã¡ accept in his life to make our marriage work.  I felt that it was Ã¡ directed at me as it was me who had demanded the changes.  We Ã¡ were with a marriage counsellor then.
joy,When we were able to afford a new sofa - a leather one which cost Ã¡ SEK 20000.  I had waited for it for 2-3 years.
fear,Vertigo - standing on a ladder and painting the house.
anger,When my boss enrolled in a course to satisfy his own ends - to Ã¡ trample on his associates.  I have the misfortune to have one of Ã¡ my superiors in my course.
sadness,When I argue with my mother about the way she treats her two Ã¡ children differently.
disgust,Spit and vomit.
shame,Spots on the seat covers of my husband's car.
guilt,Not speaking to my sister-in-law due to lack of interest in a Ã¡ relationship on my side.
joy,"When I recently managed to get my first consulting assignment Ã¡ \myself\"" i.e on my own initiative."""
fear,I was within a hair's breadth of knocking down a drunkard who Ã¡ suddenly ran into the street.  The fear came later when I     Ã¡ realized what could have happened.
anger,"When my friend, as usual, forgot the tickets at home for a Ã¡ performance.  We missed it."
disgust,"A study visit to a chicken factory : the butchery, the smell, Ã¡ the environment and the noise."
shame,Confession to my parents about my involvement in a moped theft.
guilt,"[ No answer as I see very little difference between shame and Ã¡ guilt.  Therefore see answer for \shame\"".]"""
joy,When I was appointed to position of trust in a group set up to Ã¡ change the working environment.
fear,I was alone in a cottage I often stay in.  I was woken up by a Ã¡ rustling sound in the middle of the night.
anger,"When I tried to explain to a plumber, face to face, that the Ã¡ toilet was broken and he did not believe it (it had been mended Ã¡ ten times)."
sadness,When the result of a project work was treated nonchalantly Ã¡ intead of being criticized by the teacher.
disgust,When programmes on violence or pornography are shown on T.V.
shame,When I talked maliciously about a colleague at work to someone Ã¡ else.  Immediately afterwards I felt ashamed.
guilt,When I decided to take a week s holiday without consulting the Ã¡ family first.
joy,After my girl and I talked things over our relationship changed Ã¡ and became positive.  A diificult time turned into pleasant one.
fear,When we could not land our plane and we knew that the fuel was Ã¡ running out.  Bad weather had already frightened us.
anger,When I read about Reagan's tactical decision concerning the Ã¡ South African boycott.
sadness,When my half brother became seriously ill with cancer and died Ã¡ later.
disgust,A film were a woman was attacked and raped.  One did not see the Ã¡ worst but it had the desired effect - very strong.
shame,I made a comment and it was interpreted completely differently Ã¡ from what I had meant.  When I said it I realized how my mother Ã¡ had understood it.
guilt,I had promised to visit my girlfriend but for different reasons Ã¡ could not make it.  I rang up later to tell her that I could not Ã¡ come.
joy,"When I was offered a high position of trust, which I later Ã¡ accepted."
fear,I had the window open and the door was shut so that the kitten Ã¡ would not go out.  My partner came in and started talking about Ã¡ something and I forgot about the window and suddenly I saw the Ã¡ kitten hanging from the window frame. I was rigid with fright Ã¡ till I got hold of her.
anger,Some noisy guests arrived at the hotel.  I had been slightly Ã¡ irritated earlier.  At night when I was trying to sleep they were Ã¡ having a party so I went and yelled at them.  I wanted to sleep Ã¡ as I had to get up early the next day.
sadness,When I was told that I had not been successful in getting the job I Ã¡ had been expecting.  I was sure that I was sufficiently Ã¡ qualified.
disgust,When my cat vomited and a worm came out which was still alive.  I Ã¡ was forced to wipe it up.
shame,When I was a child it was found out that I had taken off my Ã¡ clothes outdoors.  It was summer and my friend and I were out Ã¡ in the woods.  It had felt exciting at that time.  My parents Ã¡ discovered that my trousers were back to front and I felt Ã¡ ashamed.
